"Date","Record Number","Record Type","Address","Description","Permit Name","Status","Short Notes",
"06/21/2016","BA-201604515","Arborist Illegal Activity","1350 MERIDIAN ST SE, ATLANTA GA 30317","Illegal Tree Removal:    Golden Alliance, LLC        Operations Director:  Waqar Muhammad ParwaniMultiple trees removed from site without tree removal permit.1.) Sweetgum, 26"" dbh, located back leftside of property.2) Sweetgum, 25"" dbh, located back left of property.3.) Unknown, 30"" dbh, located back center left of property.4.) Water Oak, 28"" dbh, located leftside of property.5.) Red Oak, 33"" dbh, located front left of property.6.) Sweetgum, 34"" dbh, located front left center of property.7.) Unknown, 18"" dbh, located rightside of property.8.) Hackberry, 10"" dbh, located far back center of property.","Illegal Tree Removal","Assigned",,
"06/16/2016","BA-201604410","Arborist Illegal Activity","1191 HOSEA L WILLIAMS DR SE, ATLANTA GA 30317","INVESTIGATION ILLEGAL TREE IMPACT/ DESTRUCTION","INVESTIGATION","Assigned",,
"06/13/2016","BA-201604294","Arborist Illegal Activity","985 DREWRY ST NE, ATLANTA GA 30306","Illegal destruction of three trees at the rear of the property. 10"" Sweetgum13"" Hackberry18"" HackberryRoot zone damage is beyond prescriptive measures. Structural root plate damage on all three.","Illegal Activity","Fine",,
"06/08/2016","BA-201604195","Arborist Illegal Activity","2404 HANOVER WEST LN NW, ATLANTA GA 30327","Illegal destruction of the following trees by constructionFront yard trees destroyed:23"" Water Oak17"" Sweetgum9"" + 9"" Saucer MagnoliaRear yard trees destroyed20"" Water Oak13"" Loblolly Pine17"" Loblolly Pine15"" Loblolly Pine16"" Hackberry27"" Water Oak","ILLEGAL TREE DESTRUCTION","Open",,
"06/08/2016","BA-201604199","Arborist Illegal Activity","5005 GUILFORD FOREST DR SW, ATLANTA GA 30331","Investigation","Investigation","Assigned",,
"06/06/2016","BA-201604131","Arborist Illegal Activity","161 BLACKLAND RD NW, ATLANTA GA 30342","Illegal destruction of structural root plate and critical root zone of 40"" DBH Southern Red Oak and removal of double trunk 14"" + 20"" DBH Southern Magnolia","Illegal Activity","Assigned",,
"06/01/2016","BA-201604009","Arborist Illegal Activity","971 DEAN DR NW, ATLANTA GA 30318","ILLEGAL REMOVAL OF TWO TREES","ILLEGAL TREE REMOVAL","Assigned",,
"06/01/2016","BA-201604010","Arborist Illegal Activity","161 BLACKLAND RD NW, ATLANTA GA 30342","ILLEGAL REMOVAL OF ONE TREE","ILLEGAL TREE REMOVAL","Assigned",,
"06/01/2016","BA-201604012","Arborist Illegal Activity","2404 HANOVER WEST LN NW, ATLANTA GA 30327","ILLEGAL TREE REMOVAL OF FOUR TREES","ILLEGAL TREE REMOVAL","Assigned",,
"05/20/2016","BA-201603737","Arborist Illegal Activity","1146 EAST CONFEDERATE AVE SE, ATLANTA GA 30316","Illegal Tree Removal:1.) Red Oak, 30"" dbh, located front left of property.2.) Unknown, 7"" dbh, located back right of property.3.) Cherry, 14"" dbh, located back center/right of property.4.) Persimmon, 9"" dbh, located back center/left of property.5.) Unknown, 16"" dbh, located back left of property.Trees removed from site without Approved Tree Removal Permit.Tree Removal Company: Mr. Cecil McCrary, Metro Tree and Excavation,                                          1017 Woodward Circle SW, Mableton, GA 30126","Illegal Tree Removal","Assigned",,
"05/12/2016","BA-201603462","Arborist Illegal Activity","2657 LENOX RD NE, ATLANTA GA 0",,"Complaint","Pending - Illegal Activity",,
"05/12/2016","BA-201603481","Arborist Illegal Activity","949 ORMEWOOD TER SE, ATLANTA GA 30316","Illegal Tree Removal: 949 Ormewood Terrace SETree Service: Santa Maria Tree Service, 1982 Night Circle, Loganville, GA 300521.) Red Oak, 36"" dbh - stump, located back right corner of property - beside garage.2.) Water Oak, 30"" dbh, located back yard of property.3.) Dogwood, 11"" dbh, located front right of property.Tree(s) removed without approved tree removal permit.","Illegal Tree Removal","Assigned",,
"05/11/2016","BA-201603415","Arborist Illegal Activity","2695 LENOX RD NE, ATLANTA GA 30324","Illegal Removal of five trees near the front right corner of the property. 24"" Pine10"" Hardwood8""   Hardwood26"" Pine7""   Hardwood","Illegal Activity","Fine",,
"05/06/2016","BA-201603289","Arborist Illegal Activity","2695 LENOX RD NE, ATLANTA GA 30324","PLEASE INVESTIGATE THIS MATTER","INVESTIGATION","Fine",,
"05/03/2016","BA-201603192","Arborist Illegal Activity","252 BEVERLY RD NE, ATLANTA GA 30309","Illegal destruction/removal of three trees at the front of the property. 24"" Sycamore20"" Magnolia21"" Pine","Illegal Activity","Assigned",,
"04/04/2016","BA-201602227","Arborist Illegal Activity","3541 ROXBORO RD NE, ATLANTA GA 30326","Illegal removal of a tree of unknown diameter in the rear of the property.","Illegal Activity","Fine",,
"04/04/2016","BA-201602229","Arborist Illegal Activity","882 PONCE DE LEON AVE NE, ATLANTA GA 30306","Illegal removal of an oak of unknown diameter at the rear left of the building.","Illegal Activity","Fine",,
"03/29/2016","BA-201602042","Arborist Illegal Activity","612 FORTUNE PL NE, ATLANTA GA 30312","Illegal removal (2) trees along western P.L.","Illegal Destruction","Fine",,
"03/18/2016","BA-201601804","Arborist Illegal Activity","4115 GLEN DEVON DR NW, ATLANTA GA 30327","Illegal removal of trees on site. Pines. Locations on property are unknown.","Illegal Activity","Assigned",,
"03/18/2016","BA-201601824","Arborist Illegal Activity","633 TIMM VALLEY RD NE, ATLANTA GA 30305","Illegal destruction of a 30"" Tulip Poplar at the rear left property line.","Illegal Activity","Fine",,
"03/17/2016","BA-201601800","Arborist Illegal Activity","1141 ANGELO CT NE, ATLANTA GA 30319","Illegal removal of three trees totaling 63 inches in diameter. 25"" Oak at front right. 20"" Magnolia at rear left. 18"" Oak at rear left.","Illegal Activity","Fine",,
"03/09/2016","BA-201601507","Arborist Illegal Activity","172 SECOND AVE SE, ATLANTA GA 00000","Illegal Tree Removal:1.) Water Oak, 29"" dbh, located leftside of property.Tree removed without approved tree removal permit.","Illegal Tree Removal","Assigned",,
"03/09/2016","BA-201601520","Arborist Illegal Activity","1670 JOHNSON RD NE, ATLANTA GA 30306","Illegal removal of 3 front yard trees.32"" Pine32"" Pine24"" Magnolia","Illegal Activity","Fine",,
"03/08/2016","BA-201601458","Arborist Illegal Activity","1227 LANIER BLVD NE, ATLANTA GA 30306","Illegal destruction of a 24"" Tulip Poplar on the right side of the property and a 14"" River Birch at the front of the property.","Illegal Activity","Fine",,
"03/07/2016","BA-201601414","Arborist Illegal Activity","3620 KNOLLWOOD DR NW, ATLANTA GA 30305",,"site complaint","Pending - Illegal Activity",,
"03/04/2016","BA-201601399","Arborist Illegal Activity","500 NORTHSIDE CIR NW, ATLANTA GA 00000","Illegal removal of 3 hardwoods on the left side of the leasing office. Diameters unknown.","Illegal Activity","Fine",,
"03/02/2016","BA-201601333","Arborist Illegal Activity","949 PEACHTREE BATTLE AVE NW, ATLANTA GA 30327","Removal of 28"" hardwood shown on 2 surveys, revisions  and revised site plan.","illegal activity","Assigned",,
"02/26/2016","BA-201601207","Arborist Illegal Activity","523 ROCK SPRINGS RD NE, ATLANTA GA 30324","Illegal destruction of a 36"" White Oak at the rear left of the property.","Illegal Activity","Fine",,
"02/19/2016","BA-201601068","Arborist Illegal Activity","1780 MERTON RD NE, ATLANTA GA 30306","ComplaintThere maybe an illegal removal of (9) trees from the front of the yard at the property located at 1780 Merton Road,  Please investigate this matter.","Complaint","Closed - No Violation Found",,
"02/17/2016","BA-201600991","Arborist Illegal Activity","765 HARRISON PL SE, C, ATLANTA GA 30315","Illegal Tree Activity:1.) Pine, 25"" dbh, located back left corner of Lot 9-C, Impact Critical Root Zone. Orange X on tree.2.) Water Oak, 10"" dbh, located back left corner of Lot 9-C, Impact Critical Root Zone. Orange X on tree.3.) Post Oak, 28"" dbh, located back right corner of Lot 9-C, Impact Critical Root Zone. Orange X on tree.Trees impacted due to construction/digging/heavy equipment. No tree protection fence.","Illegal Tree Activity","Assigned",,
"02/10/2016","BA-201600806","Arborist Illegal Activity","731 STOVALL BLVD NE, ATLANTA GA 30342","Illegal Removal of three trees in the rear of the property:57"" Tulip Poplar14"" Pine12"" Pine","Illegal Activity","Fine",,
"02/10/2016","BA-201600809","Arborist Illegal Activity","1210 HOSEA L WILLIAMS DR NE, ATLANTA GA 30317","Illegal Removal of three unknown hardwoods at the rear left side.","Illegal Activity","Fine",,
"02/10/2016","BA-201600813","Arborist Illegal Activity","140 LAKE FORREST LN NE, ATLANTA GA 30342","Three trees were illegally destroyed via topping. All three trees are located at the front of the property. 26"" Beech23"" Beech23"" Beech","Illegal Activity","Fine",,
"02/05/2016","BA-201600697","Arborist Illegal Activity","1444 MCPHERSON AVE SE, ATLANTA GA 30316","Tree Company: Hernandez Tree Service      2833 E Mount Tabor Cir Duluth, Georgia 30096Illegal Tree Removal:1.) Red Oak, 35"" dbh, located back center of property.2.) Unknown, unknown dbh, located back left corner of property.3.) Water Oak, unknown dbh, located front leftside of property.4.) Unknown, unknown dbh, located front left corner of property.Trees removed without approved tree removal permit.","Illegal Tree Removal","Assigned",,
"02/01/2016","BA-201600546","Arborist Illegal Activity","788 GREENWOOD AVE NE, ATLANTA GA 30306",,"site complaint","Pending - Illegal Activity",,
"01/29/2016","BA-201600501","Arborist Illegal Activity","2796 MARGARET MITCHELL DR NW, ATLANTA GA 30327",,"Complaint","Assigned",,
"01/29/2016","BA-201600515","Arborist Illegal Activity","2648 KNOX ST NE, ATLANTA GA 30317","Illegal removal of two trees before the posting process was completed. 28"" Oak32"" Poplar","Illegal Activity","Fine",,
"01/29/2016","BA-201600517","Arborist Illegal Activity","2893 ANDREWS DR NW, ATLANTA GA 30305",,"site investigation","Assigned",,
"01/29/2016","BA-201600521","Arborist Illegal Activity","2899 ANDREWS DR NW, ATLANTA GA 30305",,"site investigation","Assigned",,
"01/22/2016","BA-201600366","Arborist Illegal Activity","643 CLIFTON RD NE, ATLANTA GA 30307","Illegal destruction of an 18"" Oak at the front right of the property.","Illegal Activity","Fine",,
